Frame_410nm,MeanInt_410nm,Time_410nm,Realtime_410nm,Frame_470nm,MeanInt_470nm,Time_470nm,Realtime_470nm
264,1023.965225,13.2,15:04.7,263,927.3670941,13.15,15:04.6
266,1023.70789,13.3,15:04.8,265,926.9845686,13.25,15:04.7
268,1024.048685,13.4,15:04.9,267,927.9234949,13.35,15:04.8
270,1024.104325,13.5,15:05.0,269,927.3740491,13.45,15:04.9
272,1024.20865,13.6,15:05.1,271,927.7983047,13.55,15:05.0
274,1023.87481,13.7,15:05.2,273,927.1375788,13.65,15:05.1
276,1024.25038,13.8,15:05.3,275,927.6800696,13.75,15:05.2
278,1024.257335,13.9,15:05.4,277,929.6274723,13.85,15:05.3
280,1023.784395,14,15:05.5,279,925.9482721,13.95,15:05.4
282,1023.909585,14.1,15:05.6,281,927.6313845,14.05,15:05.5
284,1023.97218,14.2,15:05.7,283,927.0054336,14.15,15:05.6
286,1024.11128,14.3,15:05.8,285,927.8400348,14.25,15:05.7
288,1023.867855,14.4,15:05.9,287,927.9165399,14.35,15:05.8
290,1024.29211,14.5,15:06.0,289,928.6329059,14.45,15:05.9
292,1024.076505,14.6,15:06.1,291,927.3949141,14.55,15:06.0
294,1024.285155,14.7,15:06.2,293,930.6429037,14.65,15:06.1
296,1023.756575,14.8,15:06.3,295,930.8932841,14.75,15:06.2
298,1024.19474,14.9,15:06.4,297,930.121278,14.85,15:06.3
300,1023.90263,15,15:06.5,299,929.5022821,14.95,15:06.4
302,1023.76353,15.1,15:06.6,301,929.4814171,15.05,15:06.5
304,1023.8609,15.2,15:06.7,303,929.3562269,15.15,15:06.6
306,1023.840035,15.3,15:06.8,305,928.723321,15.25,15:06.7
308,1023.951315,15.4,15:06.9,307,930.0447729,15.35,15:06.8
310,1024.048685,15.5,15:07.0,309,929.4814171,15.45,15:06.9
312,1024.020865,15.6,15:07.1,311,930.156053,15.55,15:07.0
314,1023.770485,15.7,15:07.2,313,928.695501,15.65,15:07.1
316,1024.006955,15.8,15:07.3,315,929.7804825,15.75,15:07.2
318,1024.062595,15.9,15:07.4,317,929.9265377,15.85,15:07.3
320,1023.673115,16,15:07.5,319,931.6235601,15.95,15:07.4
322,1023.965225,16.1,15:07.6,321,930.8028689,16.05,15:07.5
324,1023.909585,16.2,15:07.7,323,931.3523147,16.15,15:07.6
326,1023.909585,16.3,15:07.8,325,931.0184742,16.25,15:07.7
328,1023.97218,16.4,15:07.9,327,931.8808955,16.35,15:07.8
330,1023.853945,16.5,15:08.0,329,931.7557053,16.45,15:07.9
332,1024.034775,16.6,15:08.1,331,930.149098,16.55,15:08.0
334,1024.076505,16.7,15:08.2,333,931.1784395,16.65,15:08.1
336,1023.79135,16.8,15:08.3,335,932.1173658,16.75,15:08.2
338,1024.02782,16.9,15:08.4,337,932.4025212,16.85,15:08.3
340,1024.02782,17,15:08.5,339,930.9558792,16.95,15:08.4
342,1024.229515,17.1,15:08.6,341,932.2008259,17.05,15:08.5
344,1024.08346,17.2,15:08.7,343,931.52619,17.15,15:08.6
346,1024.11128,17.3,15:08.8,345,930.9976092,17.25,15:08.7
348,1024.146055,17.4,15:08.9,347,931.6583351,17.35,15:08.8
350,1023.937405,17.5,15:09.0,349,929.8430776,17.45,15:08.9
352,1024.132145,17.6,15:09.1,351,932.0895458,17.55,15:09.0
354,1023.84699,17.7,15:09.2,353,929.8778526,17.65,15:09.1
356,1024.18083,17.8,15:09.3,355,928.6607259,17.75,15:09.2
358,1023.73571,17.9,15:09.4,357,930.0656379,17.85,15:09.3
360,1023.88872,18,15:09.5,359,928.8902413,17.95,15:09.4
362,1023.853945,18.1,15:09.6,361,928.4103456,18.05,15:09.5
364,1024.020865,18.2,15:09.7,363,927.6870246,18.15,15:09.6
366,1023.87481,18.3,15:09.8,365,926.9219735,18.25,15:09.7
368,1024.118235,18.4,15:09.9,367,926.8524234,18.35,15:09.8
370,1024.06955,18.5,15:10.0,369,926.1986525,18.45,15:09.9
372,1023.97218,18.6,15:10.1,371,928.020865,18.55,15:10.0
374,1024.34775,18.7,15:10.2,373,927.4366442,18.65,15:10.1
376,1023.798305,18.8,15:10.3,375,928.7789611,18.75,15:10.2
378,1023.91654,18.9,15:10.4,377,926.588133,18.85,15:10.3
380,1023.98609,19,15:10.5,379,928.6468159,18.95,15:10.4
382,1023.923495,19.1,15:10.6,381,929.7248424,19.05,15:10.5
384,1023.97218,19.2,15:10.7,383,929.6135623,19.15,15:10.6
386,1024.271245,19.3,15:10.8,385,928.9111063,19.25,15:10.7
388,1023.895675,19.4,15:10.9,387,928.5911758,19.35,15:10.8
390,1023.8609,19.5,15:11.0,389,927.4992393,19.45,15:10.9
392,1024.034775,19.6,15:11.1,391,927.7426646,19.55,15:11.0
394,1023.784395,19.7,15:11.2,393,927.0610737,19.65,15:11.1
396,1023.95827,19.8,15:11.3,395,925.9760922,19.75,15:11.2
398,1023.826125,19.9,15:11.4,397,926.7689633,19.85,15:11.3
400,1023.90263,20,15:11.5,399,927.8539448,19.95,15:11.4
402,1023.77744,20.1,15:11.6,401,927.7426646,20.05,15:11.5
404,1024.090415,20.2,15:11.7,403,926.2264725,20.15,15:11.6
406,1023.937405,20.3,15:11.8,405,927.7913497,20.25,15:11.7
408,1023.881765,20.4,15:11.9,407,926.4698978,20.35,15:11.8
410,1023.826125,20.5,15:12.0,409,925.5866116,20.45,15:11.9
412,1023.80526,20.6,15:12.1,411,925.1971311,20.55,15:12.0
414,1023.74962,20.7,15:12.2,413,925.5587916,20.65,15:12.1
416,1023.94436,20.8,15:12.3,415,928.006955,20.75,15:12.2
418,1024.19474,20.9,15:12.4,417,928.6676809,20.85,15:12.3
420,1024.12519,21,15:12.5,419,928.2921104,20.95,15:12.4
422,1023.83308,21.1,15:12.6,421,926.7341882,21.05,15:12.5
424,1023.826125,21.2,15:12.7,423,926.2264725,21.15,15:12.6
426,1023.90263,21.3,15:12.8,425,925.5727016,21.25,15:12.7
428,1023.589654,21.4,15:12.9,427,925.5935666,21.35,15:12.8
430,1024,21.5,15:13.0,429,926.3029776,21.45,15:12.9
432,1023.540969,21.6,15:13.1,431,925.6283417,21.55,15:13.0
434,1023.589654,21.7,15:13.2,433,926.2195175,21.65,15:13.1
436,1023.784395,21.8,15:13.3,435,925.6213867,21.75,15:13.2
438,1023.979135,21.9,15:13.4,437,925.9343621,21.85,15:13.3
440,1023.631384,22,15:13.5,439,925.9204521,21.95,15:13.4
442,1023.81917,22.1,15:13.6,441,925.9343621,22.05,15:13.5
444,1023.881765,22.2,15:13.7,443,925.9830472,22.15,15:13.6
446,1023.617474,22.3,15:13.8,445,925.5448815,22.25,15:13.7
448,1023.951315,22.4,15:13.9,447,925.6631167,22.35,15:13.8
450,1023.97218,22.5,15:14.0,449,924.1886546,22.45,15:13.9
452,1023.756575,22.6,15:14.1,451,925.4057814,22.55,15:14.0
454,1023.8609,22.7,15:14.2,453,926.2403825,22.65,15:14.1
456,1023.610519,22.8,15:14.3,455,924.1956097,22.75,15:14.2
458,1023.742665,22.9,15:14.4,457,925.6492067,22.85,15:14.3
460,1023.742665,23,15:14.5,459,925.7326668,22.95,15:14.4
462,1023.631384,23.1,15:14.6,461,926.5046729,23.05,15:14.5
464,1023.909585,23.2,15:14.7,463,925.0232558,23.15,15:14.6
466,1023.66616,23.3,15:14.8,465,927.6870246,23.25,15:14.7
468,1023.853945,23.4,15:14.9,467,925.5240165,23.35,15:14.8
470,1023.965225,23.5,15:15.0,469,925.2040861,23.45,15:14.9
472,1023.909585,23.6,15:15.1,471,925.8091719,23.55,15:15.0
474,1023.76353,23.7,15:15.2,473,927.269724,23.65,15:15.1
476,1023.77744,23.8,15:15.3,475,927.4366442,23.75,15:15.2
478,1023.853945,23.9,15:15.4,477,927.8678548,23.85,15:15.3
480,1023.659205,24,15:15.5,479,926.9915236,23.95,15:15.4
482,1023.603564,24.1,15:15.6,481,926.608998,24.05,15:15.5
484,1023.65225,24.2,15:15.7,483,926.4907629,24.15,15:15.6
486,1023.631384,24.3,15:15.8,485,926.608998,24.25,15:15.7
488,1023.95827,24.4,15:15.9,487,927.255814,24.35,15:15.8
490,1024.187785,24.5,15:16.0,489,926.0525973,24.45,15:15.9
492,1023.520104,24.6,15:16.1,491,926.2751576,24.55,15:16.0
494,1023.951315,24.7,15:16.2,493,925.7396218,24.65,15:16.1
496,1023.506194,24.8,15:16.3,495,926.7480982,24.75,15:16.2
498,1023.965225,24.9,15:16.4,497,928.6189959,24.85,15:16.3
500,1023.79135,25,15:16.5,499,928.4103456,24.95,15:16.4
502,1023.69398,25.1,15:16.6,501,928.7859161,25.05,15:16.5
504,1023.513149,25.2,15:16.7,503,927.8748098,25.15,15:16.6
506,1023.638339,25.3,15:16.8,505,930.830689,25.25,15:16.7
508,1023.826125,25.4,15:16.9,507,928.5633558,25.35,15:16.8
510,1023.840035,25.5,15:17.0,509,928.9667464,25.45,15:16.9
512,1023.66616,25.6,15:17.1,511,927.2071289,25.55,15:17.0
514,1023.589654,25.7,15:17.2,513,927.9165399,25.65,15:17.1
516,1023.610519,25.8,15:17.3,515,928.4938057,25.75,15:17.2
518,1023.492284,25.9,15:17.4,517,927.1514888,25.85,15:17.3
520,1023.80526,26,15:17.5,519,927.7496196,25.95,15:17.4
522,1023.700935,26.1,15:17.6,521,928.5703108,26.05,15:17.5
524,1023.853945,26.2,15:17.7,523,928.3477505,26.15,15:17.6
526,1023.575744,26.3,15:17.8,525,928.0765051,26.25,15:17.7
528,1023.492284,26.4,15:17.9,527,927.7496196,26.35,15:17.8
530,1023.492284,26.5,15:18.0,529,927.5757444,26.45,15:17.9
532,1023.492284,26.6,15:18.1,531,926.7759183,26.55,15:18.0
534,1023.687025,26.7,15:18.2,533,925.4822865,26.65,15:18.1
536,1023.575744,26.8,15:18.3,535,927.5131493,26.75,15:18.2
538,1023.659205,26.9,15:18.4,537,925.4892415,26.85,15:18.3
540,1023.673115,27,15:18.5,539,927.0054336,26.95,15:18.4
542,1023.513149,27.1,15:18.6,541,927.6661595,27.05,15:18.5
544,1023.568789,27.2,15:18.7,543,926.7341882,27.15,15:18.6
546,1023.561834,27.3,15:18.8,545,928.3547055,27.25,15:18.7
548,1023.568789,27.4,15:18.9,547,926.0039122,27.35,15:18.8
550,1023.332319,27.5,15:19.0,549,927.4714193,27.45,15:18.9
552,1023.714845,27.6,15:19.1,551,928.6607259,27.55,15:19.0
554,1023.506194,27.7,15:19.2,553,930.2673332,27.65,15:19.1
556,1023.728755,27.8,15:19.3,555,926.3864377,27.75,15:19.2
558,1023.443599,27.9,15:19.4,557,928.5494458,27.85,15:19.3
560,1023.659205,28,15:19.5,559,929.3770919,27.95,15:19.4
562,1023.276679,28.1,15:19.6,561,929.1267116,28.05,15:19.5
564,1023.547924,28.2,15:19.7,563,929.1128016,28.15,15:19.6
566,1023.513149,28.3,15:19.8,565,927.8956749,28.25,15:19.7
568,1023.443599,28.4,15:19.9,567,929.2727668,28.35,15:19.8
570,1022.984569,28.5,15:20.0,569,926.7689633,28.45,15:19.9
572,1023.207129,28.6,15:20.1,571,926.1916975,28.55,15:20.0
574,1023.248859,28.7,15:20.2,573,927.7983047,28.65,15:20.1
576,1023.374049,28.8,15:20.3,575,926.7759183,28.75,15:20.2
578,1023.443599,28.9,15:20.4,577,927.1723538,28.85,15:20.3
580,1023.471419,29,15:20.5,579,927.8678548,28.95,15:20.4
582,1023.297544,29.1,15:20.6,581,926.8663334,29.05,15:20.5
584,1023.659205,29.2,15:20.7,583,926.3655727,29.15,15:20.6
586,1023.387959,29.3,15:20.8,585,927.2419039,29.25,15:20.7
